Coworking Brand,Branch / Location,Plan Type (Flex / Dedicated),Rate Per Seat (INR/Mo),4-Desk Monthly Cost (Excl. GST),GST (18%),Total Monthly (Incl. GST),Security Deposit (Months),Day Pass Rate (INR),Meeting Credits (Hrs/Mo),Direct Booking URL,Status / Notes
WeWork,Eleven West Baner,Flex Desk (All Access),9500,38000,6840,44840,2,850,8,"https://wework.co.in/workspace/pune/eleven-west-baner",Premium aesthetic; best cafe & community
IndiQube ATP,Amar Tech Park Balewadi,Flex Desk,7000,28000,5040,33040,2,500,8,"https://myhq.in/coworking-space/indiqube-atp-balewadi-pune",5 mins from Balewadi High Street
Awfis,The Kode (Baner-Pashan Rd),Flex Desk,8000,32000,5760,37760,2,550,8,"https://www.awfis.com/coworking/pune/the-kode-baner-pashan-link-road",Walking distance to Mont Vert / Rohan Leher
Awfis,Sterling Towers Baner,Dedicated Desk,9500,38000,6840,44840,2,600,8,"https://www.awfis.com/coworking/pune/sterling-towers-baner",Prime Baner main road location
Workflo by OYO,Icon Tower Baner,Flex Desk,6000,24000,4320,28320,1,500,4,"https://myhq.in/coworking-space/workflo-icon-tower-baner-pune",Best budget option in Baner
Awfis,Phase 1 Hinjewadi,Flex Desk,8000,32000,5760,37760,2,450,8,"https://www.awfis.com/coworking/pune/embassy-techzone-hinjewadi",Immediate to Blue Ridge Phase 1
Smartworks,Malpani Agile Baner/Wakad,Flex Desk,10000,40000,7200,47200,2,500,8,"https://www.smartworksoffice.com/coworking-space/pune/malpani-agile",Grade-A tech park on highway
Trios Coworking,White Square Wakad,Dedicated Desk,7500,30000,5400,35400,1,400,6,"https://myhq.in/coworking-space/trios-coworking-space-white-square-wakad-pune",Very close to Wakad societies
Bootstart Coworking,Wakad / Balewadi Edge,Flex Desk,6000,24000,4320,28320,1,350,4,"https://bootstart.in/coworking-space-in-wakad-pune/",Cost-effective; 24/7 access
WeWork,World Trade Center Kharadi,Flex Desk (All Access),9500,38000,6840,44840,2,650,8,"https://wework.co.in/workspace/pune/world-trade-center-kharadi",World-class campus in East Pune
Awfis,EON Free Zone Kharadi,Flex Desk,6000,24000,4320,28320,2,400,8,"https://www.awfis.com/coworking/pune/eon-free-zone-kharadi",Inside EON IT Park Phase 1/2
Bootstart,Kharadi Central,Flex Desk,5000,20000,3600,23600,1,350,4,"https://bootstart.in/coworking-space-in-kharadi-pune/",Budget pick in Kharadi
