Society / Building Name,Locality / Area,Configuration,Furnishing Status,Quoted Rent (INR),Maintenance Included?,Security Deposit (INR),Power Backup (DG/Inverter),Car Parking Slots,Contact Name / Source,Phone / Link,Visit Date,Evaluation Score (1-10),Status / Notes
Paranjape Blue Ridge,Hinjewadi Phase 1,3 BHK (1350 sqft),Semi-Furnished,38000,Yes,80000,100% Full DG,1 Covered,NoBroker Owner,"https://www.nobroker.in",TBD,9.5,Walk-to-work Phase 1; Golf course view
Kolte Patil Life Republic,Marunji / Hinjewadi,3 BHK (1250 sqft),Fully Furnished,34000,Yes,70000,100% Full DG,1 Covered,Direct Landlord,"https://www.nobroker.in",TBD,9.4,Turnkey ready; High value for money
Aditya Comfort Zone,Balewadi,3 BHK (1400 sqft),Semi-Furnished,40000,No (3000 extra),100000,Common DG + Inverter,1 Covered,Magicbricks Agent,"https://www.magicbricks.com",TBD,9.0,3 mins to Balewadi High Street
Natu Golden Trellis,Balewadi High St,3 BHK (1300 sqft),Semi-Furnished,39000,Yes,90000,Common DG,1 Covered,Housing.com,"https://housing.com",TBD,9.1,Very close to High St cafes
Mont Vert Finesse,Baner-Pashan Link Rd,3 BHK (1450 sqft),Semi-Furnished,40000,Yes,100000,Full DG,1 Covered,99acres Owner,"https://www.99acres.com",TBD,9.2,Quiet green pocket; high quality build
Godrej Hillside,Mahalunge,3 BHK (1100 sqft),Fully Furnished,36000,Yes,80000,100% Full DG,1 Covered,NoBroker,"https://www.nobroker.in",TBD,9.3,Brand new high-rise; 40+ amenities
VTP Alpine,Mahalunge,3 BHK (1150 sqft),Semi-Furnished,32000,Yes,70000,100% Full DG,1 Covered,Direct Owner,"https://www.nobroker.in",TBD,9.0,Modular kitchen + wardrobes pre-installed
Rohan Tarang,Wakad (Kaspate Wasti),3 BHK (1350 sqft),Semi-Furnished,35000,Yes,80000,100% Full DG,1 Covered,Direct Landlord,"https://www.nobroker.in",TBD,9.1,Spacious courtyard design; calm society
VJ Yashwin Enchante,Upper Kharadi,3 BHK (1200 sqft),Semi-Furnished,34000,Yes,75000,100% Full DG,1 Covered,NoBroker,"https://www.nobroker.in",TBD,9.0,Modern lifestyle amenities in East Pune
Godrej Parkridge,Manjari / Kharadi,3 BHK (1150 sqft),Fully Furnished,38000,Yes,80000,Full DG,1 Covered,Housing.com,"https://housing.com",TBD,8.9,Close to EON Free Zone
